,Address,Case,DateTime,File,Incident,NumInc,Shift
6336,200 Block of Waters Edge Ln,B09-002197,2009-09-20 02:45:00,381,BREAKING AND ENTERING A VEHICLE,2,III
6337,200 Block of Waters Edge Ln,B09-002197,2009-09-20 02:45:00,381,THEFT 3RD DEGREE,2,III
6338,200 Block of Waters Edge Ln,B09-002199,2009-09-20 01:07:00,381,BREAKING AND ENTERING A VEHICLE,1,III
6339,200 Block of Avian Ln,B09-002202,2009-09-21 06:20:00,381,BREAKING AND ENTERING A VEHICLE,2,I
6340,200 Block of Avian Ln,B09-002202,2009-09-21 06:20:00,381,THEFT 3RD DEGREE,2,I
6341,100 Block of S Brook Pl,B09-002203,2009-09-21 07:50:00,381,BREAKING AND ENTERING A VEHICLE,2,I
6342,100 Block of S Brook Pl,B09-002203,2009-09-21 07:50:00,381,THEFT 2ND DEGREE,2,I
6343,200 Block of Kyser Blvd,B09-002204,2009-09-21 08:42:00,381,THEFT 2ND DEGREE,1,I
6344,100 Block of Hughes Rd,B09-002206,2009-09-21 15:19:00,381,HARASSMENT,1,II
6345,100 Block of S Brook Pl,B09-002210,2009-09-21 18:19:00,381,BREAKING AND ENTERING A VEHICLE,2,II
6346,100 Block of S Brook Pl,B09-002210,2009-09-21 18:19:00,381,THEFT 3RD DEGREE,2,II
6347,100 Block of S Brook Pl,B09-002211,2009-09-21 18:19:00,381,BREAKING AND ENTERING A VEHICLE,1,II
6348,300 Block of Hughes Rd,B09-002212,2009-09-21 19:45:00,381,MENACING,1,II
6349,100 Block of S Brook Pl,B09-002213,2009-09-21 19:40:00,381,BREAKING AND ENTERING A VEHICLE,2,II
6350,100 Block of S Brook Pl,B09-002213,2009-09-21 19:40:00,381,THEFT 3RD DEGREE,2,II
6351,100 Block of S Brook Pl,B09-002214,2009-09-21 20:19:00,381,BREAKING AND ENTERING A VEHICLE,2,II
6352,100 Block of S Brook Pl,B09-002214,2009-09-21 20:19:00,381,THEFT 3RD DEGREE,2,II
6353,100 Block of Commerce Cir,B09-002215,2009-09-21 21:19:00,381,AUTO THEFT-1ST DEGREE,1,II
6354,200 Block of Kyser Blvd,B09-002216,2009-09-21 21:57:00,381,BURGLARY-3RD,2,II
6355,200 Block of Kyser Blvd,B09-002216,2009-09-21 21:57:00,381,THEFT 2ND DEGREE,2,II
6356,9000 Block of Madison Blvd,B09-002218,2009-09-22 08:30:00,381,THEFT 2ND DEGREE,1,I
6357,area of Hughes Rd / Madison Blvd,B09-002219,2009-09-22 08:20:00,381,SIMPLE ASSAULT,1,I
6358,200 Block of Jarrett Ln,B09-002220,2009-09-22 09:20:00,381,THEFT 2ND DEGREE,1,I
6359,100 Block of Hidden Springs Ct,B09-002221,2009-09-22 09:55:00,381,BURGLARY-2ND,2,I
6360,100 Block of Hidden Springs Ct,B09-002221,2009-09-22 09:55:00,381,THEFT 2ND DEGREE,2,I
6361,300 Block of Shelton Rd,B09-002222,2009-09-22 10:30:00,381,CRIMINAL MISCHIEF-3RD,1,I
6362,100 Block of Reserve Way,B09-002223,2009-09-22 10:37:00,381,HARASSMENT,1,I
6363,100 Block of Cheekwood Dr,B09-002224,2009-09-22 10:55:00,381,BREAKING AND ENTERING A VEHICLE,2,I
6364,100 Block of Cheekwood Dr,B09-002224,2009-09-22 10:55:00,381,THEFT 2ND DEGREE,2,I
6365,100 Block of Hughes Rd,B09-002225,2009-09-22 12:15:00,381,IDENTITY THEFT 1ST DEGREE,1,I
6366,"State Of Alabama, 8005 Highway 72 W",B09-002226,2009-09-22 16:45:00,381,CIRCULATING EMITTED MONEY,1,II
6367,100 Block of Royal Dr,B09-002227,2009-09-22 17:10:00,381,CRIMINAL MISCHIEF-3RD,1,II
6368,100 Block of Hughes Rd,B09-002228,2009-09-22 18:15:00,381,UNAUTHORIZED USE OF AUTO,1,II
6369,100 Block of Royal Dr,B09-002229,2009-09-22 19:50:00,381,BURGLARY-3RD,2,II
6370,100 Block of Royal Dr,B09-002229,2009-09-22 19:50:00,381,THEFT 2ND DEGREE,2,II
6371,100 Block of Royal Dr,B09-002230,2009-09-23 07:19:00,381,DOMESTIC VIOLENCE 3RD,1,I
6372,100 Block of Madison Point Pl,B09-002231,2009-09-23 09:50:00,381,HARASSING COMMUNICATIONS,1,I
6373,100 Block of Madison Point Pl,B09-002232,2009-09-23 09:50:00,381,CRIMINAL MISCHIEF-3RD,1,I
6374,100 Block of Angela Dr,B09-002234,2009-09-23 14:45:00,381,HARASSMENT,1,II
6375,200 Block of Harborview Dr,B09-002235,2009-09-23 15:30:00,381,ILLEGAL POSS/USE CREDIT CARD,2,II
6376,200 Block of Harborview Dr,B09-002235,2009-09-23 15:30:00,381,THEFT 1ST DEGREE,2,II
6377,3000 Block of Sullivan St,B09-002236,2009-09-23 16:11:00,381,HARASSMENT,1,II
6378,100 Block of Stone Meadow Ln,B09-002237,2009-09-23 19:00:00,381,THEFT 2ND DEGREE,1,II
6379,100 Block of Madison Point Pl,B09-002238,2009-09-23 19:10:00,381,THEFT 3RD DEGREE,2,II
6380,100 Block of Madison Point Pl,B09-002238,2009-09-23 19:10:00,381,BREAKING AND ENTERING A VEHICLE,2,II
6381,300 Block of Shelton Rd,B09-002239,2009-09-23 21:15:00,381,UNAUTHORIZED USE OF AUTO,1,II
6382,300 Block of Greenstone Dr,B09-002242,2009-09-24 18:26:00,381,THEFT 1ST DEGREE,1,II
6383,100 Block of Hughes Rd,B09-002244,2009-09-24 21:15:00,381,UNAUTHORIZED USE OTHER VEHICLE,1,II
6384,100 Block of Canterbury Cir,B09-002245,2009-09-24 22:16:00,381,DOMESTIC VIOLENCE 3RD,1,III
6385,100 Block of Stavemill Dr,B09-002247,2009-09-25 10:11:00,381,ILLEGAL POSS/USE CREDIT CARD,1,I
6386,"Jeff Benton Homes, 104 Mill Ridge Dr",B09-002248,2009-09-24 10:45:00,381,CRIMINAL MISCHIEF-3RD,1,I
6387,7000 Block of Highway 72 W,B09-002250,2009-09-25 11:30:00,381,DUTY TO STOP AND REMAIN AT SCENE,1,I
6388,100 Block of Village Ln,B09-002254,2009-09-25 17:45:00,381,HARASSMENT,1,II
6389,100 Block of Abby Ln,B09-002257,2009-09-25 00:04:00,381,BURGLARY-3RD,2,III
6390,100 Block of Abby Ln,B09-002257,2009-09-25 00:04:00,381,THEFT 2ND DEGREE,2,III
6391,"City Of Madison, E I565 / Wall Triana Hwy",B09-002258,2009-09-26 04:45:00,381,OTHER,1,III
6392,200 Block of Red Oak Pl,B09-002259,2009-09-26 13:40:00,381,CRIMINAL MISCHIEF-2ND,1,I
6393,200 Block of Red Oak Pl,B09-002260,2009-09-26 13:40:00,381,DOMESTIC VIOLENCE 3RD,1,I
6394,200 Block of Red Oak Pl,B09-002262,2009-09-26 14:15:00,381,THEFT 2ND DEGREE,1,II
6395,200 Block of Brockton Dr,B09-002263,2009-09-26 20:09:00,381,DOMESTIC VIOLENCE 3RD,1,II
6396,200 Block of Kyser Blvd,B09-002264,2009-09-26 21:52:00,381,DOMESTIC VIOLENCE 3RD,1,II
6397,"Youngs Plant Farm, 303 Waters Edge Ln",B09-001917,2009-08-16 15:05:00,383,DUTY UPON STRIKING UNATTENDED VEHICLE,1,II
6398,100 Block of Darroby Dr,B09-001918,2009-08-16 16:15:00,383,CRIMINAL  MISCHIEF-3RD,1,II
6399,100 Block of Tumbleweed Ct,B09-001919,2009-08-16 19:20:00,383,THEFT 3RD DEGREE,1,II
6400,"The Lexington Fields/Farms, 101 Royal Dr",B09-001921,2009-08-17 08:35:00,383,CRIMINAL TRESPASS,1,I
