,Address,Case,DateTime,File,Incident,NumInc,Shift
0,100 Block of Shelton Rd Madison,B11-001782,2011-07-17 04:22:00,1143,DOMESTIC VIOLENCE 3RD,1,III
1,9000 Block of Madison Blvd Madison,B11-001783,2011-07-17 12:45:00,1143,DUTY TO STOP AND REMAIN AT SCENE,1,I
2,area of Cherry Dr Madison / Highland Dr,B11-001784,2011-07-17 13:45:00,1143,DOMESTIC VIOLENCE 2ND,1,I
3,100 Block of Park Square Lane Madison,B11-001785,2011-07-17 20:00:00,1143,UNLAWFUL BREAKING AND ENTERING A VEHICLE (NO THEFT),2,II
4,100 Block of Park Square Lane Madison,B11-001785,2011-07-17 20:00:00,1143,THEFT 3RD DEGREE,2,II
5,100 Block of Coatbridge Ln,B11-001786,2011-07-17 19:36:00,1143,HARASSING COMMUNICATIONS,1,II
6,100 Block of Village Ln Madison,B11-001787,2011-07-19 00:50:00,1143,CRIMINAL MISCHIEF-3RD,1,III
7,100 Block of Village Ln,B11-001788,2011-07-18 00:50:00,1143,CRIMINAL MISCHIEF-3RD,1,III
8,100 Block of Dawn Dr,B11-001789,2011-07-18 04:00:00,1143,CRIMINAL LITTERING,1,III
9,area of Dawn Dr Madison,B11-001790,2011-07-18 08:40:00,1143,BREAKING AND ENTERING A VEHICLE,3,I
10,area of Dawn Dr Madison,B11-001790,2011-07-18 08:40:00,1143,BREAKING AND ENTERING A VEHICLE,3,I
11,area of Dawn Dr Madison,B11-001790,2011-07-18 08:40:00,1143,BREAKING AND ENTERING A VEHICLE,3,I
12,8000 Block of Madison Blvd,B11-001791,2011-07-18 09:30:00,1143,BREAKING AND ENTERING A VEHICLE,1,I
13,300 Block of Gooch Ln,B11-001792,2011-07-18 11:30:00,1143,BURGLARY-3RD,2,I
14,300 Block of Gooch Ln,B11-001792,2011-07-18 11:30:00,1143,THEFT 1ST DEGREE,2,I
15,100 Block of Park Square Ln,B11-001795,2011-07-18 17:01:00,1143,THEFT 3RD DEGREE,1,II
16,100 Block of Grantham Cir,B11-001797,2011-07-18 17:35:00,1143,THEFT 3RD DEGREE,1,II
17,"Bob Jones High School, Roy Dr / Yancy Rd",B11-001798,2011-07-18 16:48:00,1143,RECEIVING STOLEN PROPERTY-3RD,1,II
18,100 Block of Michael Av Madison,B11-001799,2011-07-18 18:42:00,1143,BURGLARY-3RD,2,II
19,100 Block of Michael Av Madison,B11-001799,2011-07-18 18:42:00,1143,THEFT 3RD DEGREE,2,II
20,100 Block of Boulton Ct Madison,B11-001800,2011-07-18 20:10:00,1143,IDENTITY THEFT,1,II
21,100 Block of Michael Av,B11-001801,2011-07-18 19:40:00,1143,BURGLARY-3RD,1,II
22,7000 Block of Old Madison Pike,B11-001803,2011-07-18 23:00:00,1143,CRIMINAL MISCHIEF-3RD,1,III
23,"Hd Supply, 121 Jetplex Cir",B11-001805,2011-07-19 08:40:00,1143,CRIMINAL MISCHIEF-3RD,2,I
24,"Hd Supply, 121 Jetplex Cir",B11-001805,2011-07-19 08:40:00,1143,THEFT 3RD DEGREE,2,I
25,100 Block of Kentucky Dr,B11-001806,2011-07-19 15:10:00,1143,BURGLARY-3RD,2,II
26,100 Block of Kentucky Dr,B11-001806,2011-07-19 15:10:00,1143,THEFT 3RD DEGREE,2,II
27,7000 Block of Hwy 72 Madison,B11-001808,2011-07-19 18:36:00,1143,THEFT 1ST DEGREE,1,II
28,1000 Block of Shelton Rd,B11-001809,2011-07-19 18:40:00,1143,BURGLARY-3RD,2,II
29,1000 Block of Shelton Rd,B11-001809,2011-07-19 18:40:00,1143,THEFT 2ND DEGREE,2,II
30,"Colorxpress, 132 Jetplex Ln",B11-001810,2011-07-20 13:30:00,1143,THEFT 3RD DEGREE,1,I
31,"Dollar General, 7950 Highway 72 W",B11-001811,2011-07-20 14:07:00,1143,THEFT 3RD DEGREE,1,II
32,100 Block of Park Square Ln,B11-001812,2011-07-20 15:10:00,1143,THEFT 3RD DEGREE,1,II
33,100 Block of Jetplex Cir Madison,B11-001813,2011-07-20 17:45:00,1143,UNLAWFUL BREAKING AND ENTERING A VEHICLE (NO THEFT),2,II
34,100 Block of Jetplex Cir Madison,B11-001813,2011-07-20 17:45:00,1143,THEFT 1ST DEGREE,2,II
35,300 Block of Hughes Pond Cir,B11-001814,2011-07-20 18:00:00,1143,DOMESTIC VIOLENCE 3RD,1,II
36,300 Block of Hughes Pond Cir,B11-001816,2011-07-20 18:00:00,1143,DOMESTIC VIOLENCE 3RD,1,II
37,100 Block of Grand Cove Pl,B11-001817,2011-07-20 18:54:00,1143,THEFT 3RD DEGREE,1,II
38,100 Block of Garden Brook Drive Madison,B11-001818,2011-07-20 20:30:00,1143,DOMESTIC VIOLENCE 3RD,1,II
39,200 Block of Shelton Rd Madison,B11-001819,2011-07-20 21:50:00,1143,LEAVING THE SCENE OF AN ACCIDENT,1,II
40,area of Old Madison Pike Madison,B11-001820,2011-07-20 20:54:00,1143,LEAVING THE SCENE OF AN ACCIDENT,1,II
41,"Walmart Super Center #2690, 8650 Madison Blvd",B11-001821,2011-07-21 02:50:00,1143,CRIMINAL TRESPASS,1,III
42,"Angelo Iafrate Construction, 381 Gillespie Rd Madison",B11-001823,2011-07-21 08:30:00,1143,CRIMINAL MISCHIEF-3RD,1,I
43,"Schaeffer Eye Center, 8089 Highway 72 W Madison",B11-001824,2011-07-21 10:26:00,1143,THEFT 2ND DEGREE,1,I
44,600 Block of Lanier Rd Madison,B11-001825,2011-07-21 12:34:00,1143,BREAKING AND ENTERING A VEHICLE,1,I
45,4000 Block of Wall Triana Hwy,B11-001826,2011-07-21 15:40:00,1143,THEFT 3RD DEGREE,1,II
46,100 Block of St Anne Rd,B11-001827,2011-07-21 15:00:00,1143,BURGLARY-2ND,1,II
47,100 Block of St Anne Rd,B11-001828,2011-07-21 15:00:00,1143,BREAKING AND ENTERING A VEHICLE,1,II
48,100 Block of Arlington Dr,B11-001829,2011-07-21 16:34:00,1143,THEFT 2ND DEGREE,1,II
49,100 Block of Bridletrace Ln,B11-001830,2011-07-21 15:00:00,1143,IDENTITY THEFT,1,II
50,100 Block of Arlington Dr,B11-001831,2011-07-21 17:10:00,1143,CRIMINAL MISCHIEF-3RD,2,II
51,100 Block of Arlington Dr,B11-001831,2011-07-21 17:10:00,1143,THEFT 2ND DEGREE,2,II
52,100 Block of Park Square Ln,B11-001832,2011-07-21 18:25:00,1143,THEFT 2ND DEGREE,1,II
53,"City Of Madison, 8466 Old Madison Pike",B11-001833,2011-07-21 20:30:00,1143,RECEIVING STOLEN PROPERTY-3RD,1,II
54,100 Block of St Anne Rd,B11-001834,2011-07-21 15:00:00,1143,UNLAWFUL BREAKING AND ENTERING A VEHICLE,2,II
55,100 Block of St Anne Rd,B11-001834,2011-07-21 15:00:00,1143,THEFT 2ND DEGREE,2,II
56,400 Block of Shamrock Dr,B11-001835,2011-07-22 19:44:00,1143,BURGLARY OF AUTO (NO THEFT),1,II
57,100 Block of Twelve Oaks Dr,B11-001836,2011-07-21 23:53:00,1143,ROBBERY-2ND-STREET-STRONG ARM,1,III
58,200 Block of Harborview Dr,B11-001837,2011-07-22 07:00:00,1143,THEFT 2ND DEGREE,1,I
59,200 Block of Water Hill Rd,B11-001838,2011-07-22 10:25:00,1143,THEFT 3RD DEGREE,1,I
60,1000 Block of Slaughter Rd,B11-001839,2011-07-22 12:50:00,1143,HARASSMENT,1,I
61,"City Of Madison, 12266 County Line Rd",B11-001843,2011-07-23 08:16:00,1143,IMPERSONATING PUBLIC SERVANT,1,I
62,"Asian Market, 8760 Madison Blvd",B11-001845,2011-07-23 08:59:00,1143,CRIMINAL MISCHIEF-2ND,1,I
63,"Bedzzz Express, 8760 Madison Blvd",B11-001846,2011-07-23 08:59:00,1143,CRIMINAL MISCHIEF-2ND,1,I
64,100 Block of Brazelton Cir,B11-001854,2011-07-23 23:45:00,1143,CRIMINAL MISCHIEF-3RD,1,III
65,100 Block of Brookside Cir,B11-001857,2011-07-24 15:41:00,1143,IDENTITY THEFT,1,II
66,100 Block of Lily Ct Madison,B11-001859,2011-07-24 18:53:00,1143,THEFT 1ST DEGREE,1,II
67,8000 Block of Madison Blvd,B11-001855,2011-07-24 00:05:00,1145,UNAUTHORIZED USE OF AUTO,1,III
68,100 Block of Brookside Cir,B11-001857,2011-07-24 15:41:00,1145,IDENTITY THEFT,1,II
69,100 Block of Lily Ct Madison,B11-001859,2011-07-24 18:53:00,1145,THEFT 1ST DEGREE,1,II
70,"State Of Alabama, 8470 Highway 72 W",B11-001862,2011-07-25 03:02:00,1145,PUBLIC DRUNKENESS,1,III
71,100 Block of Canterbury Dr,B11-001863,2011-07-25 05:12:00,1145,CRIMINAL MISCHIEF-3RD,1,III
72,100 Block of Canterbury Dr,B11-001864,2011-07-25 06:20:00,1145,BREAKING AND ENTERING A VEHICLE,1,I
73,100 Block of Canterbury Dr,B11-001865,2011-07-25 07:44:00,1145,BREAKING AND ENTERING A VEHICLE,1,I
74,100 Block of Canterbury Cir,B11-001866,2011-07-25 09:20:00,1145,BURGLARY OF AUTO (NO THEFT),1,I
75,"Bedzzz Express, 8760 Madison Blvd",B11-001867,2011-07-25 09:57:00,1145,BREAKING AND ENTERING A VEHICLE,1,I
76,"State Of Alabama, Kendrick Lane Madison",B11-001868,2011-07-27 03:20:00,1145,DRIVING UNDER INFLUENCE-ALCOHOL,1,III
77,1000 Block of Arnold Rd,B11-001869,2011-07-25 12:45:00,1145,THEFT 3RD DEGREE,1,I
78,100 Block of Sharpsburg Dr,B11-001870,2011-07-25 14:06:00,1145,BREAKING AND ENTERING A VEHICLE,1,II
79,100 Block of Shelton Rd Madison,B11-001871,2011-07-25 15:20:00,1145,ILLEGAL POSS/USE CREDIT CARD,2,II
80,100 Block of Shelton Rd Madison,B11-001871,2011-07-25 15:20:00,1145,UNAUTHORIZED USE OF AUTO,2,II
81,100 Block of Haven Ridge Rd Madison,B11-001872,2011-07-25 15:47:00,1145,IDENTITY THEFT,1,II
82,7000 Block of Highway 72 W,B11-001873,2011-07-25 17:16:00,1145,FORGERY 2ND,2,II
83,7000 Block of Highway 72 W,B11-001873,2011-07-25 17:16:00,1145,THEFT 3RD DEGREE,2,II
84,100 Block of Joe Phillips Rd,B11-001874,2011-07-25 18:30:00,1145,IDENTITY THEFT,1,II
85,200 Block of Water Hill Rd,B11-001875,2011-07-25 18:45:00,1145,SIMPLE ASSAULT,1,II
86,"State Of Alabama, 128A Michael Ave Madison",B11-001877,2011-07-26 02:30:00,1145,ROBBERY-1ST,4,III
87,"State Of Alabama, 128A Michael Ave Madison",B11-001877,2011-07-26 02:30:00,1145,ROBBERY-1ST,4,III
88,"State Of Alabama, 128A Michael Ave Madison",B11-001877,2011-07-26 02:30:00,1145,IMPERSONATING PEACE OFFICER,4,III
89,"State Of Alabama, 128A Michael Ave Madison",B11-001877,2011-07-26 02:30:00,1145,IMPERSONATING PEACE OFFICER,4,III
90,200 Block of Millbury Ct,B11-001878,2011-07-26 04:15:00,1145,DOMESTIC VIOLENCE 3RD,1,III
91,1000 Block of Michael Ave Madison,B11-001879,2011-07-26 02:30:00,1145,ROBBERY-1ST,4,III
92,1000 Block of Michael Ave Madison,B11-001879,2011-07-26 02:30:00,1145,ROBBERY-1ST,4,III
93,1000 Block of Michael Ave Madison,B11-001879,2011-07-26 02:30:00,1145,IMPERSONATING PEACE OFFICER,4,III
94,1000 Block of Michael Ave Madison,B11-001879,2011-07-26 02:30:00,1145,IMPERSONATING PEACE OFFICER,4,III
95,"Hertz Rental Corp, 9091 Madison Blvd",B11-001880,2011-07-26 09:30:00,1145,FRAUDULANT LEASE,1,I
96,200 Block of Main St,B11-001881,2011-07-26 10:10:00,1145,CRIMINAL MISCHIEF-3RD,1,I
97,900 Block of Lark Cir Madison,B11-001882,2011-07-26 11:07:00,1145,IDENTITY THEFT,1,I
98,3000 Block of Sullivan St,B11-001884,2011-07-26 12:54:00,1145,HARASSMENT,1,I
99,"State Of Alabama, 142 Liberty Dr",B11-001885,2011-07-26 14:40:00,1145,OBSCENE ACTS-UNDER 18,1,II
100,200 Block of Kyser Blvd,B11-001886,2011-07-26 14:40:00,1145,DOMESTIC VIOLENCE 2ND,1,II
101,200 Block of Kyser Blvd,B11-001887,2011-07-26 16:26:00,1145,MENACING,1,II
102,200 Block of Water Hill Rd,B11-001888,2011-07-26 18:38:00,1145,HARASSMENT,1,II
103,100 Block of Royal Dr,B11-001889,2011-07-26 19:24:00,1145,BREAKING AND ENTERING A VEHICLE,1,II
104,100 Block of Portal Ln,B11-001891,2011-07-26 22:15:00,1145,BURGLARY-3RD,2,III
105,100 Block of Portal Ln,B11-001891,2011-07-26 22:15:00,1145,THEFT 3RD DEGREE,2,III
106,"State Of Alabama, 128A Michael Ave Madison",B11-001892,2011-07-27 01:00:00,1145,IMPERSONATING PEACE OFFICER,1,III
107,7000 Block of Highway 72 W,B11-001893,2011-07-27 12:35:00,1145,FORGERY 2ND,1,I
108,300 Block of Mercury Dr,B11-001895,2011-07-27 17:00:00,1145,THEFT 3RD DEGREE,1,II
109,100 Block of Royal Dr,B11-001896,2011-07-27 20:20:00,1145,CRIMINAL MISCHIEF-3RD,1,II
110,"Madison City Schools, 281 Dock Murphy Dr",B11-001897,2011-07-28 07:50:00,1145,CRIMINAL MISCHIEF-2ND,1,I
111,2000 Block of Colonial Lake Dr,B11-001900,2011-07-28 17:05:00,1145,THEFT 3RD DEGREE,1,II
112,200 Block of Waters Edge Ln,B11-001902,2011-07-28 18:45:00,1145,MENACING,1,II
113,100 Block of Harborview Dr,B11-001905,2011-07-28 21:00:00,1145,DOMESTIC VIOLENCE 3RD,1,II
114,300 Block of Oak St,B11-001906,2011-07-28 22:15:00,1145,BURGLARY-3RD,2,III
115,300 Block of Oak St,B11-001906,2011-07-28 22:15:00,1145,THEFT 2ND DEGREE,2,III
116,100 Block of Grand Cove Pl,B11-000344,2011-02-13 15:23:00,955,UNAUTHORIZED USE OF AUTO,1,II
117,"City Of Madison, Westchester Dr @ Royal Dr",B11-000345,2011-02-13 16:10:00,955,ATTEMPTING TO FLEE OR ELUDE POLICE OFFICER,1,II
118,"City Of Madison, 108 Carmine Cir",B11-000346,2011-02-13 17:20:00,955,ANIMAL CRUELTY,1,II
119,200 Block of Kyser Blvd,B11-000347,2011-02-13 18:30:00,955,BURGLARY-3RD,2,II
120,200 Block of Kyser Blvd,B11-000347,2011-02-13 18:30:00,955,THEFT 2ND DEGREE,2,II
121,100 Block of Royal Dr,B11-000348,2011-02-13 18:48:00,955,AUTO THEFT-1ST DEGREE,1,II
122,300 Block of Gillespie Rd,B11-000349,2011-02-13 20:15:00,955,BURGLARY-3RD,1,II
123,8000 Block of Madison Blvd,B11-000352,2011-02-14 13:45:00,955,ILLEGAL POSS/USE CREDIT CARD,1,I
124,300 Block of Gillespie Rd,B11-000354,2011-02-14 14:25:00,955,THEFT 3RD DEGREE,1,II
125,100 Block of Champions Green Dr,B11-000355,2011-02-14 17:34:00,955,HARASSING COMMUNICATIONS,1,II
126,"Trk Enterprises, 7955 Highway 72 W",B11-000358,2011-02-15 11:15:00,955,THEFT 2ND DEGREE,1,I
127,7000 Block of Highway 72 W,B11-000359,2011-02-15 11:45:00,955,DUTY UPON STRIKING UNATTENDED VEHICLE,1,I
128,200 Block of Brockton Dr,B11-000362,2011-02-15 22:35:00,955,DOMESTIC VIOLENCE 3RD,1,III
129,200 Block of Water Hill Rd,B11-000363,2011-02-16 00:50:00,955,DOMESTIC VIOLENCE 3RD,1,III
130,200 Block of Water Hill Rd,B11-000364,2011-02-16 02:00:00,955,DOMESTIC VIOLENCE 3RD,1,III
131,200 Block of Water Hill Rd,B11-000365,2011-02-16 02:00:00,955,DOMESTIC VIOLENCE 3RD,1,III
132,100 Block of Todd Dr,B11-000367,2011-02-16 08:55:00,955,BURGLARY-2ND,2,I
133,100 Block of Todd Dr,B11-000367,2011-02-16 08:55:00,955,THEFT 3RD DEGREE,2,I
134,600 Block of Hughes Rd,B11-000368,2011-02-16 09:15:00,955,THEFT 3RD DEGREE,1,I
135,100 Block of Greenwood Dr,B11-000369,2011-02-16 09:20:00,955,BREAKING AND ENTERING A VEHICLE,1,I
136,1000 Block of Hughes Rd,B11-000371,2011-02-17 13:07:00,955,THEFT 3RD DEGREE,1,I
137,"State Of Alabama, 1329 Browns Ferry Rd",B11-000373,2011-02-16 16:06:00,955,ESCAPE 3RD,1,II
138,800 Block of Bishop Cir,B11-000374,2011-02-16 13:32:00,955,OTHER,1,I
139,8000 Block of Madison Blvd,B11-000377,2011-02-17 12:02:00,955,HARASSMENT,1,I
140,100 Block of Royal Dr Madison,B11-000379,2011-02-17 14:55:00,955,BURGLARY-3RD,2,II
141,100 Block of Royal Dr Madison,B11-000379,2011-02-17 14:55:00,955,THEFT 2ND DEGREE,2,II
142,100 Block of Shelton Rd Madison,B11-000382,2011-02-18 13:31:00,955,DOMESTIC VIOLENCE 3RD,1,I
143,1000 Block of Colonial Lake Dr Madison,B11-000383,2011-02-18 13:34:00,955,THEFT 1ST DEGREE,1,I
144,8000 Block of Madison Blvd,B11-000385,2011-02-18 14:12:00,955,DOMESTIC VIOLENCE 3RD,1,II
145,1000 Block of Slaughter Rd,B11-000388,2011-02-18 18:21:00,955,DOMESTIC VIOLENCE 3RD,1,II
146,1000 Block of Slaughter Rd,B11-000389,2011-02-18 18:21:00,955,DOMESTIC VIOLENCE 3RD,1,II
147,100 Block of Arabian Dr,B11-000390,2011-02-18 19:30:00,955,THEFT 1ST DEGREE,1,II
148,300 Block of Martin St,B11-000391,2011-02-19 02:04:00,955,HARASSMENT,1,III
149,8000 Block of Madison Blvd,B11-000393,2011-02-19 01:37:00,955,DOMESTIC VIOLENCE 3RD,1,III
150,100 Block of Champions Green Ln Madison,B11-000394,2011-02-19 11:27:00,955,BREAKING AND ENTERING A VEHICLE,1,I
151,100 Block of Royal Dr Madison,B11-000395,2011-02-19 15:10:00,955,IDENTITY THEFT,1,II
152,8000 Block of Madison Blvd,B11-000396,2011-02-19 17:37:00,955,THEFT 3RD DEGREE,1,II
153,100 Block of Equestrian Ln Madison,B11-000397,2011-02-19 16:55:00,955,HARASSING COMMUNICATIONS,1,II
154,100 Block of Southern Pointe Dr Madison,B11-000398,2011-02-19 20:43:00,955,UNAUTHORIZED USE OF AUTO,1,II
155,100 Block of Scenic Dr,B10-002432,2010-09-19 09:22:00,797,THEFT 2ND DEGREE,2,I
156,100 Block of Scenic Dr,B10-002432,2010-09-19 09:22:00,797,BURGLARY-3RD,2,I
157,1000 Block of Slaughter Rd,B10-002433,2010-09-19 11:27:00,797,THEFT 2ND DEGREE,1,I
158,400 Block of Atlas Dr,B10-002434,2010-09-19 18:45:00,797,THEFT 2ND DEGREE,1,II
159,300 Block of Autumn Ln,B10-002436,2010-09-20 09:10:00,797,THEFT 1ST DEGREE,1,I
160,600 Block of Hughes Rd,B10-002437,2010-09-20 10:00:00,797,HARASSMENT,1,I
161,"City Of Madison, 650 Hughes Rd",B10-002439,2010-09-20 14:00:00,797,DISORDERLY CONDUCT,1,II
162,200 Block of Kyser Blvd Madison,B10-002442,2010-09-20 20:30:00,797,CRIMINAL MISCHIEF-3RD,1,II
163,300 Block of Church St,B10-002445,2010-09-21 09:00:00,797,DOMESTIC VIOLENCE 3RD,1,I
164,100 Block of Arlington Dr,B10-002448,2010-09-21 19:25:00,797,BURGLARY-3RD,3,II
165,100 Block of Arlington Dr,B10-002448,2010-09-21 19:25:00,797,IDENTITY THEFT,3,II
166,100 Block of Arlington Dr,B10-002448,2010-09-21 19:25:00,797,THEFT 3RD DEGREE,3,II
167,100 Block of Arlington Dr,B10-002449,2010-09-21 19:25:00,797,HARASSMENT,1,II
168,"Madison City Schools, 650 Hughes Rd",B10-002451,2010-09-21 14:00:00,797,TERRORIST THREAT,1,II
169,"Bancorp South Bank, 41 Hughes Rd",B10-002452,2010-09-22 11:30:00,797,ROBBERY-1ST-BANK INSTITUTION-STRONG ARM,1,I
170,3000 Block of Sullivan St,B10-002453,2010-09-22 14:30:00,797,HARASSMENT,1,II
171,600 Block of Hughes Rd,B10-002454,2010-09-22 14:15:00,797,THEFT 3RD DEGREE,1,II
172,500 Block of Gillespie Rd,B10-002455,2010-09-22 15:30:00,797,BURGLARY-3RD,2,II
173,500 Block of Gillespie Rd,B10-002455,2010-09-22 15:30:00,797,THEFT 2ND DEGREE,2,II
174,100 Block of Bridgefield Rd,B10-002456,2010-09-22 15:45:00,797,HARASSING COMMUNICATIONS,1,II
175,100 Block of Angela Dr,B10-002457,2010-09-22 16:30:00,797,THEFT 3RD DEGREE,1,II
176,"A-1 United Cab, 125 Royal Dr",B10-002460,2010-09-23 03:55:00,797,THEFT OF SERVICES-3,1,III
177,600 Block of Hughes Rd,B10-002461,2010-09-23 08:30:00,797,THEFT 3RD DEGREE,1,I
178,"Wash Master, 5880 Wall Triana Hwy",B10-002463,2010-09-23 11:50:00,797,CRIMINAL MISCHIEF-3RD,1,I
179,"At&T, 190 Stoneway Tr",B10-002464,2010-09-23 13:00:00,797,THEFT 2ND DEGREE,1,I
180,"Springs At Madison, 121 Continental Dr Madison",B10-002467,2010-09-23 16:15:00,797,THEFT 3RD DEGREE,1,II
181,800 Block of Nolan Blvd,B10-002468,2010-09-23 17:25:00,797,BURGLARY-3RD,2,II
182,800 Block of Nolan Blvd,B10-002468,2010-09-23 17:25:00,797,THEFT 2ND DEGREE,2,II
183,3000 Block of Flag Cir Madison,B10-002469,2010-09-23 17:00:00,797,ILLEGAL POSS/USE CREDIT CARD,2,II
184,3000 Block of Flag Cir Madison,B10-002469,2010-09-23 17:00:00,797,IDENTITY THEFT,2,II
185,300 Block of Autumn Ln,B10-002470,2010-09-23 18:00:00,797,DOMESTIC VIOLENCE 3RD,1,II
186,200 Block of Rodman Dr,B10-002472,2010-09-23 20:30:00,797,THEFT 1ST DEGREE,1,II
187,100 Block of Westscott Dr Madison,B10-002475,2010-09-24 07:50:00,797,HARASSMENT,1,I
188,7000 Block of Hwy 72 Madison,B10-002476,2010-09-24 10:07:00,797,DUTY TO STOP AND REMAIN AT SCENE,1,I
189,200 Block of Kyser Blvd Madison,B10-002477,2010-09-24 10:07:00,797,DOMESTIC INCIDENT,1,I
190,300 Block of Autumn Ln Madison,B10-002478,2010-09-24 10:30:00,797,DOMESTIC VIOLENCE 3RD,1,I
191,100 Block of Todd Dr,B10-002479,2010-09-24 17:00:00,797,BURGLARY-3RD,2,II
192,100 Block of Todd Dr,B10-002479,2010-09-24 17:00:00,797,THEFT 3RD DEGREE,2,II
193,100 Block of Brownsferry Rd Madison,B10-002480,2010-09-24 19:40:00,797,BREAKING AND ENTERING A VEHICLE,2,II
194,100 Block of Brownsferry Rd Madison,B10-002480,2010-09-24 19:40:00,797,THEFT 1ST DEGREE,2,II
195,100 Block of Bluebelle Dr,B10-002481,2010-09-24 18:05:00,797,DOMESTIC VIOLENCE 3RD,1,II
196,100 Block of Tottenham Way,B10-002484,2010-09-24 21:00:00,797,DOMESTIC VIOLENCE 3RD,1,II
197,200 Block of Kyser Blvd,B10-002486,2010-09-25 06:28:00,797,DOMESTIC VIOLENCE 3RD,1,I
198,"State Of Alabama, 221 Patricia Road Madison",B10-002487,2010-09-25 18:00:00,797,CONTRIBUTING-DELINQUENT-MINOR,1,II
199,200 Block of Production Ave,B13-003348,2013-10-05 11:40:00,1952,THEFT 3RD DEGREE,1,I
200,"City Of Madison, 240 Martin Rd",B13-003351,2013-10-05 19:58:00,1952,ATTEMPTING TO FLEE OR ELUDE POLICE OFFICER,1,II
201,3000 Block of Flag Cir,B13-003352,2013-10-05 22:40:00,1952,DV 3RD-HARASSING COMMUNICATIONS,1,III
202,3000 Block of Flag Cir,B13-003353,2013-10-05 22:40:00,1952,DV 3RD-HARASSING COMMUNICATIONS,1,III
203,area of Main St / Sullivan St,B13-003355,2013-10-06 01:09:00,1952,HARASSMENT,1,III
204,100 Block of Carmine Cir,B13-003356,2013-10-06 01:14:00,1952,HARASSMENT,1,III
205,100 Block of Hughes Rd,B13-003357,2013-10-06 10:45:00,1952,HARASSMENT,1,I
206,8000 Block of Highway 72 W,B13-003359,2013-10-06 15:10:00,1952,AGGRAVATED ASSAULT 2ND NON FAMILY STRONG ARM,1,II
207,100 Block of Mcadoo Dr,B13-003360,2013-10-06 16:40:00,1952,THEFT 2ND DEGREE,1,II
208,5000 Block of Wall Triana Hwy Madison,B13-003361,2013-10-06 16:25:00,1952,OTHER,1,II
209,200 Block of Kyser Blvd,B13-003362,2013-10-06 20:14:00,1952,DV 3RD-HARASSMENT-FAMILY,1,II
210,200 Block of Kyser Blvd,B13-003363,2013-10-06 20:14:00,1952,DV 3RD-HARASSMENT-FAMILY,1,II
211,800 Block of Crestview Dr,B13-003364,2013-10-06 19:39:00,1952,DV 3RD-CRIMINAL MISCHIEF 3RD,1,II
212,"City Of Madison, 544 Hughes Rd Madison",B13-003368,2013-10-07 07:05:00,1952,DUTY UPON STRIKING A FIXED OBJECT,1,I
213,300 Block of Old Overton Dr,B13-003369,2013-10-07 09:00:00,1952,THEFT 2ND DEGREE,1,I
214,"Dental Elements, 8141 Highway 72 W",B13-003370,2013-10-07 09:35:00,1952,THEFT OF SERVICES-3,1,I
215,900 Block of Miller Blvd,B13-003371,2013-10-07 12:30:00,1952,THEFT 2ND DEGREE,1,I
216,"City Of Madison, 181 Hughes Rd",B13-003372,2013-10-07 13:35:00,1952,PUBLIC DRUNKENNESS,1,I
217,2000 Block of Flagstone Dr Madison,B13-003374,2013-10-07 14:45:00,1952,IDENTITY THEFT,1,II
218,700 Block of Browns Ferry Rd Madison,B13-003376,2013-10-07 15:18:00,1952,DUTY UPON STRIKING A FIXED OBJECT,1,II
219,100 Block of Medicine Bend Dr,B13-003378,2013-10-07 22:40:00,1952,DV 3RD-SIMPLE ASSAULT-FAMILY,1,III
220,1000 Block of Cathedral Cir,B13-003386,2013-10-08 18:52:00,1952,THEFT 1ST DEGREE,1,II
221,200 Block of Kyser Blvd Madison,B13-003387,2013-10-08 19:30:00,1952,IDENTITY THEFT,1,II
222,100 Block of Royal Dr Madison,B13-003388,2013-10-08 21:33:00,1952,BURGLARY-3RD,2,II
223,100 Block of Royal Dr Madison,B13-003388,2013-10-08 21:33:00,1952,THEFT 2ND DEGREE,2,II
224,3000 Block of Wall Triana Hwy,B13-003389,2013-10-08 22:26:00,1952,ASSAULT,1,III
225,500 Block of Clift Dr,B13-003390,2013-10-08 22:46:00,1952,HARASSING COMMUNICATIONS,1,III
226,200 Block of Meadow Wood Drive Madison,B13-003394,2013-10-09 09:33:00,1952,HARASSING COMMUNICATIONS,1,I
227,"City Of Madison, 11306 County Line Rd",B13-003395,2013-10-08 10:00:00,1952,DISORDERLY CONDUCT,1,I
228,100 Block of Shelton Rd,B13-003397,2013-10-09 12:20:00,1952,IDENTITY THEFT,1,I
229,"Ram Tools Inc, 110 Jetplex Cir",B13-003398,2013-10-09 13:40:00,1952,THEFT 2ND DEGREE,1,I
230,4000 Block of Sullivan St,B13-003402,2013-10-09 17:49:00,1952,THEFT 1ST DEGREE,2,II
231,4000 Block of Sullivan St,B13-003402,2013-10-09 17:49:00,1952,BURGLARY-3RD,2,II
232,area of Madison Blvd / Wall Triana Hwy,B13-003404,2013-10-10 02:37:00,1952,RECKLESS ENDANGERMENT,1,III
233,300 Block of Waters Edge Ln,B13-003410,2013-10-10 23:58:00,1952,ILLEGAL POSS/USE CREDIT CARD,4,III
234,300 Block of Waters Edge Ln,B13-003410,2013-10-10 23:58:00,1952,THEFT 2ND DEGREE,4,III
235,300 Block of Waters Edge Ln,B13-003410,2013-10-10 23:58:00,1952,UNAUTHORIZED USE OF AUTO,4,III
