id,case_no,time,shift,date,location,type
59,B11-000799,8:25am,I,April03,2011, 200 Block of Goldenrod Ln, UNAUTHORIZED USE OF AUTO
60,B11-000800,10:50am,I,April03,2011, 100 Block of Lewis Ln, BURGLARY-3RD
61,B11-000800,10:50am,I,I, 100 Block of Lewis Ln, THEFT 2ND DEGREE
62,B11-000801,1:23pm,I,April03,2011, 100 Block of Arabian Dr, CRIMINAL MISCHIEF-3RD
63,B11-000804,7:35pm,II,April03,2011, 300 Block of Hughes Road Madison, COLLISION WITH UNATTENDED VEHICLE
64,B11-000805,10:14pm,III,April03,2011, 100 Block of Westminister Way, THEFT 2ND DEGREE
65,B11-000806,9:09am,I,April04,2011, 500 Block of Eastview Dr, BREAKING AND ENTERING A VEHICLE
66,B11-000807,10:50am,I,April04,2011, Bandito Burrito, 208 Main St, CRIMINAL MISCHIEF-3RD
67,B11-000808,12:58pm,I,April04,2011, 300 Block of Gooch Ln, HARASSING COMMUNICATIONS
68,B11-000809,1:00pm,I,April04,2011, 9000 Block of Madison Blvd, ROBBERY-1ST-BUSINESS-OTHER WEAPON
69,B11-000810,4:00pm,II,April04,2011, Dollar General, 7950 Highway 72 W Madison, THEFT 3RD DEGREE
70,B11-000811,7:00pm,II,April04,2011, 100 Block of Lake Crest Cir, HARASSMENT
71,B11-000811,7:00pm,II,II, 100 Block of Lake Crest Cir, CRIMINAL TRESPASS 3RD
72,B11-000812,7:00pm,II,April04,2011, 100 Block of Melody Ln, BURGLARY-3RD
73,B11-000812,7:00pm,II,II, 100 Block of Melody Ln, THEFT 1ST DEGREE
74,B11-000815,11:06pm,III,April04,2011, 3000 Block of Sullivan St, DOMESTIC VIOLENCE 3RD
75,B11-000818,2:25pm,II,April05,2011, Corner Stone Tile, 9580 Madison Blvd Ste 7 Madison, ILLEGAL POSS/USE CREDIT CARD
76,B11-000819,7:13pm,II,April05,2011, 600 Block of Cambridge Dr, HARASSING COMMUNICATIONS
77,B11-000821,10:20pm,III,April05,2011, 100 Block of Park Square Ln, UNLAWFUL BREAKING AND ENTERING A VEHICLE
78,B11-000824,8:30am,I,April06,2011, 200 Block of Dock Murphy Dr, HARASSMENT
79,B11-000826,11:19am,I,April06,2011, 100 Block of Abby Ln Madison, BURGLARY-3RD
80,B11-000826,11:19am,I,I, 100 Block of Abby Ln Madison, CRIMINAL MISCHIEF-1ST
81,B11-000826,11:19am,I,I, 100 Block of Abby Ln Madison, THEFT 3RD DEGREE
82,B11-000828,12:50pm,I,April06,2011, 3000 Block of Wall Triana Hwy, HARASSING COMMUNICATIONS
83,B11-000829,1:30pm,I,April06,2011, 100 Block of Dartford Dr, THEFT 3RD DEGREE
84,B11-000830,2:45pm,II,April06,2011, Halsey Food Service, 401 Lanier Rd, THEFT 2ND DEGREE
85,B11-000831,3:00pm,II,April06,2011, 8000 Block of Madison Blvd, HARASSING COMMUNICATIONS
86,B11-000832,5:11pm,II,April06,2011, 600 Block of Hughes Rd, THEFT 3RD DEGREE
87,B11-000834,7:20pm,II,April06,2011, 100 Block of St Anne Rd, IDENTITY THEFT
88,B11-000835,7:45pm,II,April06,2011, 100 Block of Angela Dr Madison, DOMESTIC VIOLENCE 3RD
89,B11-000836,8:15pm,II,April06,2011, 100 Block of Joe Phillips Rd Madison, DOMESTIC VIOLENCE 3RD
90,B11-000837,10:09pm,III,April06,2011, 300 Block of Gillespie Rd Madison, CRIMINAL MISCHIEF-3RD
91,B11-000837,10:09pm,III,III, 300 Block of Gillespie Rd Madison, BURGLARY-3RD
92,B11-000838,10:00am,I,April07,2011, State Of Alabama, 323 Autumn Lane Madison, VIOLATION OF COMMUNITY NOTIFICATION ACT
93,B11-000839,10:00am,I,April07,2011, 300 Block of Church St Madison, CRIMINAL MISCHIEF-2ND
94,B11-000840,11:00am,I,April07,2011, 100 Block of Conservancy Drive Madison, HARASSING COMMUNICATIONS
95,B11-000841,10:52am,I,April07,2011, 8000 Block of Madison Blvd, THEFT 1ST DEGREE
96,B11-000844,1:00pm,I,April07,2011, 600 Block of Hughes Rd, SIMPLE ASSAULT
97,B11-000845,2:05pm,II,April07,2011, Advance Grounds, 118 Patra Dr, FORGERY 2ND
98,B11-000845,2:05pm,II,II, Advance Grounds, 118 Patra Dr, THEFT 2ND DEGREE
99,B11-000846,3:16pm,II,April07,2011, 500 Block of Highland Dr, BURGLARY-3RD
100,B11-000846,3:16pm,II,II, 500 Block of Highland Dr, THEFT 3RD DEGREE
101,B11-000847,5:23pm,II,April07,2011, 2000 Block of Flagstone Dr, DOMESTIC VIOLENCE 3RD
102,B11-000848,6:45pm,II,April07,2011, 100 Block of Brandon Dr Madison, THEFT 3RD DEGREE
103,B11-000849,7:30pm,II,April07,2011, Walmart Super Center #2690, 8650 Madison Blvd, THEFT 3RD DEGREE
104,B11-000850,9:45pm,II,April07,2011, 100 Block of Lake Crest Cir, DOMESTIC VIOLENCE 3RD
105,B11-000851,10:31pm,III,April07,2011, 100 Block of Village Ln Madison, AUTO THEFT-1ST DEGREE
106,B11-000852,11:27pm,III,April07,2011, City Of Madison, 113 Bridgefield Rd, DISCHARGING FIREARM IN CITY LIMITS
107,B11-000854,10:33am,I,April08,2011, 100 Block of Medicine Bend Dr, THEFT 2ND DEGREE
108,B11-000854,10:33am,I,I, 100 Block of Medicine Bend Dr, BURGLARY-3RD
109,B11-000855,11:11am,I,April08,2011, 100 Block of Meadow Dr, IDENTITY THEFT
110,B11-000857,4:14pm,II,April08,2011, Walmart Pharmacy, 8650 Madison Blvd, THEFT 3RD DEGREE
111,B11-000859,7:41pm,II,April08,2011, 7000 Block of Hwy 72 Madison, COLLISION WITH UNATTENDED VEHICLE
112,B11-000860,4:47am,III,April09,2011, State Of Alabama, Forest Glade Dr / Shelton Rd, PROMOTING CONTRABAND 2ND
113,B11-000861,3:30am,III,April09,2011, 100 Block of Angela Dr, DOMESTIC VIOLENCE 3RD
114,B11-000862,4:57am,III,April09,2011, 100 Block of Brydon Cir, BURGLARY-3RD
115,B11-000862,4:57am,III,III, 100 Block of Brydon Cir, THEFT 1ST DEGREE
116,B11-000863,8:05am,I,April09,2011, 10000 Block of County Line Rd Madison, BREAKING AND ENTERING A VEHICLE
117,B11-000864,9:56am,I,April09,2011, 100 Block of Ivy Chase Dr, HARASSING COMMUNICATIONS
118,B11-000865,10:04am,I,April09,2011, 100 Block of Morning Vista Dr, BREAKING AND ENTERING A VEHICLE
119,B11-000866,1:14pm,I,April09,2011, 100 Block of Joe Phillips Rd, BREAKING AND ENTERING A VEHICLE
120,B11-000867,2:40pm,II,April09,2011, Great Clips, 8498 Madison Blvd Madison, THEFT 3RD DEGREE
121,B11-000871,11:30pm,III,April09,2011, 600 Block of Hughes Rd Madison, DOMESTIC VIOLENCE 3RD
122,B11-000871,11:30pm,III,III, 600 Block of Hughes Rd Madison, VIOLATION OF PROTECTION OR RESTRAINING ORDER
123,B11-000872,10:56am,I,April10,2011, 100 Block of Spencer Green, BURGLARY-3RD
124,B11-000872,10:56am,I,I, 100 Block of Spencer Green, THEFT 2ND DEGREE
125,B11-000873,11:20am,I,April10,2011, 100 Block of Whisperwood Ln, BURGLARY-3RD
126,B11-000873,11:20am,I,I, 100 Block of Whisperwood Ln, THEFT 3RD DEGREE
127,B11-000874,2:19pm,II,April10,2011, 100 Block of Boston Harbour Way, BURGLARY-3RD
128,B11-000874,2:19pm,II,II, 100 Block of Boston Harbour Way, THEFT 3RD DEGREE
129,B11-000875,3:31pm,II,April10,2011, 2000 Block of Flagstone Dr Madison, DOMESTIC VIOLENCE 3RD
130,B11-000877,4:35pm,II,April10,2011, 8000 Block of Madison Blvd Madison, ROBBERY-3RD-BUSINESS-OTHER WEAPON
131,B11-000879,8:30pm,II,April10,2011, 100 Block of Wesly Clark Blvd, HARASSING COMMUNICATIONS
132,B11-000881,12:25am,III,April11,2011, 100 Block of Athens Blvd, UNLAWFUL BREAKING AND ENTERING A VEHICLE
133,B11-000882,12:25am,III,April11,2011, 100 Block of Athens Blvd, UNLAWFUL BREAKING AND ENTERING A VEHICLE
134,B11-000884,6:40am,I,April11,2011, 200 Block of Brockton Dr, BREAKING AND ENTERING A VEHICLE
135,B11-000886,9:40am,I,April11,2011, 1000 Block of Hughes Rd, THEFT 3RD DEGREE
136,B11-000887,11:32am,I,April11,2011, Global Majic, 216 Pointe Verde Cir Madison, BURGLARY-2ND
137,B11-000887,11:32am,I,I, Global Majic, 216 Pointe Verde Cir Madison, BREAKING AND ENTERING A VEHICLE
138,B11-000889,2:28pm,II,April11,2011, 100 Block of Medicine Bend Ct, DOMESTIC VIOLENCE 3RD
139,B11-000890,4:15pm,II,April11,2011, 100 Block of Shelton Rd Madison, ATTEMPTED BURGLARY-3RD-FORCE-RESIDENCE
140,B11-000891,6:25pm,II,April11,2011, 100 Block of Medicine Bend Madison, DOMESTIC VIOLENCE 3RD
