id,case_no,time,shift,date,location,type
2049,B12-000021,2:36pm,II,January02,2012, 100 Block of Hughes Rd, ILLEGAL POSS/USE CREDIT CARD
2050,B12-000021,2:36pm,II,II, 100 Block of Hughes Rd, IDENTITY THEFT
2051,B12-000023,5:30pm,II,January03,2012, Plumbing And Steamfitters Loc37, 9740 Madison Blvd, THEFT 2ND DEGREE
2052,B12-000024,7:42am,I,January04,2012, 100 Block of Radisson Ln, THEFT 1ST DEGREE
2053,B12-000025,7:50am,I,January04,2012, A-Z Office Resource Inc, 113 Jetplex Cir, THEFT 2ND DEGREE
2054,B12-000026,10:02am,I,January04,2012, 100 Block of Lillians Way Madison, DOMESTIC VIOLENCE 3RD
2055,B12-000028,3:00pm,II,January04,2012, 100 Block of Kauffman Circle Madison, THEFT 2ND DEGREE
2056,B12-000029,3:01pm,II,January04,2012, Designer Granite And Marble, 820 Palmer Road Madison, THEFT 3RD DEGREE
2057,B12-000031,6:20pm,II,January04,2012, 100 Block of Abby Ln Madison, HARASSING COMMUNICATIONS
2058,B12-000032,6:43pm,II,January04,2012, 100 Block of Bay Pointe Ln, HARASSING COMMUNICATIONS
2059,B12-000033,6:43pm,II,January04,2012, 100 Block of Bay Pointe Ln, HARASSING COMMUNICATIONS
2060,B12-000034,8:00pm,II,January04,2012, 1000 Block of Cathedral Cir, DOMESTIC VIOLENCE 3RD
2061,B12-000035,3:22am,III,January05,2012, City Of Madison, Royal Drive Madison, DUTY TO STOP AND REMAIN AT SCENE
2062,B12-000037,9:24am,I,January05,2012, 100 Block of Forest Creek Dr, CRIMINAL MISCHIEF-3RD
2063,B12-000038,12:00pm,I,January05,2012, 300 Block of Hughes Rd Madison, THEFT 2ND DEGREE
2064,B12-000039,2:11pm,II,January05,2012, 100 Block of Autumn Wind Dr, DOMESTIC VIOLENCE 2ND
2065,B12-000040,3:56pm,II,January05,2012, 100 Block of Hughes Rd, THEFT 2ND DEGREE
2066,B12-000042,6:17pm,II,January05,2012, 400 Block of Rainbow Dr, DOMESTIC VIOLENCE 3RD
2067,B12-000043,7:48pm,II,January05,2012, 200 Block of Water Hill Rd Madison, DOMESTIC VIOLENCE 3RD
2068,B12-000045,9:36am,I,January06,2012, State Of Alabama, 100 Hughes Rd, FORGERY 2ND
2069,B12-000074,5:00am,III,January09,2012, State Of Alabama, 7837 Highway 72 W, VERIFICATION OF CITIZENSHIP IMMIGRATION
2070,B12-000075,8:47am,I,January09,2012, Breland Homes, 159 Hardiman Place Ln, THEFT 2ND DEGREE
2071,B12-000076,9:07am,I,January09,2012, 8000 Block of Madison Blvd Madison, THEFT 2ND DEGREE
2072,B12-000077,1:00pm,I,January09,2012, 100 Block of Belle Cir, DOMESTIC VIOLENCE 3RD
2073,B12-000078,8:30am,I,January09,2012, 100 Block of Steele Dr, DOMESTIC VIOLENCE 3RD
2074,B12-000079,9:00am,I,January09,2012, 100 Block of Compass Point Dr, HARASSMENT
2075,B12-000080,7:30pm,II,January09,2012, 1000 Block of Liberty Dr, SIMPLE ASSAULT
2076,B12-000081,4:52pm,II,January09,2012, 100 Block of Compass Point Dr, HARASSING COMMUNICATIONS
2077,B12-000082,4:30pm,II,January09,2012, 100 Block of Scenic Dr, BURGLARY-3RD
2078,B12-000082,4:30pm,II,II, 100 Block of Scenic Dr, THEFT 3RD DEGREE
2079,B12-000084,6:54pm,II,January09,2012, 100 Block of Browns Ferry Rd, THEFT 3RD DEGREE
2080,B12-000085,5:24pm,II,January09,2012, 8000 Block of Highway 72 W Madison, ENDANGERING WELFARE-CHILD
2081,B12-000086,10:37pm,III,January09,2012, area of Goldenrod Ln Madison, RECKLESS ENDANGERMENT
2082,B12-000087,12:00pm,I,January10,2012, 100 Block of Belle Cir, DOMESTIC VIOLENCE 3RD
2083,B12-000089,12:30pm,I,January10,2012, 8000 Block of Madison Blvd, ILLEGAL POSS/USE CREDIT CARD
2084,B12-000090,4:50pm,II,January10,2012, 100 Block of Medicine Bend Dr, CRIMINAL TRESPASS
2085,B12-000091,6:01pm,II,January10,2012, 200 Block of Pennsylvania Av, THEFT 3RD DEGREE
2086,B12-000092,6:54pm,II,January10,2012, 100 Block of Royal Dr Madison, HARASSMENT
2087,B12-000095,9:03am,I,January11,2012, 100 Block of Arlington Dr Madison, BREAKING AND ENTERING A VEHICLE
2088,B12-000096,9:12am,I,January11,2012, Pearle Vision, 7771 Highway 72 W, THEFT 1ST DEGREE
2089,B12-000097,12:00pm,I,January11,2012, 4000 Block of Sullivan St Madison, ILLEGAL POSS/USE CREDIT CARD
2090,B12-000101,6:00pm,II,January11,2012, 100 Block of Cheekwood Dr, CRIMINAL MISCHIEF-2ND
2091,B12-000102,9:00pm,II,January11,2012, City Of Madison, 107 Michael Av Madison, MAKING FALSE REPORT TO LAW ENFORCEMENT OFFICER
2092,B12-000103,11:00pm,III,January11,2012, 5000 Block of Wall Triana Hwy, THEFT 3RD DEGREE
2093,B12-000104,9:00am,I,January12,2012, 100 Block of Steele Dr, DOMESTIC VIOLENCE 3RD
2094,B12-000105,11:00am,I,January12,2012, Cvs Pharmacy (Store 4884), 8503 Old Madison Pike, THEFT 3RD DEGREE
2095,B12-000106,2:45pm,II,January12,2012, 100 Block of Compass Point Dr, BURGLARY-3RD
2096,B12-000106,2:45pm,II,II, 100 Block of Compass Point Dr, THEFT 1ST DEGREE
2097,B12-000107,4:18pm,II,January12,2012, 100 Block of Averbeck Ct, BREAKING AND ENTERING A VEHICLE
2098,B12-000108,4:50pm,II,January12,2012, State Of Alabama, County Line Rd / Production Av, VERIFICATION OF CITIZENSHIP IMMIGRATION
2099,B12-000109,6:45pm,II,January12,2012, City Of Madison, 109 Michael Av, ATTEMPTING TO FLEE OR ELUDE POLICE OFFICER
2100,B12-000110,11:25pm,III,January12,2012, 100 Block of Michael Av Madison, HARASSING COMMUNICATIONS
2101,B12-000111,5:06am,III,January13,2012, Star Market, 7950 Highway 72 W, THEFT 3RD DEGREE
2102,B12-000112,9:24am,I,January13,2012, Crickets, 3810 Sullivan St, BURGLARY-3RD
2103,B12-000112,9:24am,I,I, Crickets, 3810 Sullivan St, THEFT 2ND DEGREE
2104,B12-000113,10:30am,I,January13,2012, 10000 Block of Burgreen Rd, DOMESTIC VIOLENCE 3RD
2105,B12-000115,11:30am,I,January13,2012, Stewart Perry Company, 8207 Highway 72 W, THEFT 1ST DEGREE
2106,B12-000116,11:48am,I,January13,2012, Little Shiloh Church, 229 Maple St, CRIMINAL TAMPERING 2ND
2107,B12-000118,12:47pm,I,January13,2012, 2000 Block of Flagstone Dr, UNATTENDED DEATH
2108,B12-000138,1:05am,III,January16,2012, 100 Block of Royal Dr Madison, DOMESTIC VIOLENCE 3RD
2109,B12-000139,11:35am,I,January16,2012, 8000 Block of Madison Blvd Madison, POSS. FORGED INSTRUMENT 2ND
2110,B12-000140,1:20pm,I,January16,2012, 700 Block of Hartington Dr, BREAKING AND ENTERING A VEHICLE
2111,B12-000141,2:42pm,II,January16,2012, Gamers Paradise, 7905 Highway 72 W, THEFT 3RD DEGREE
2112,B12-000143,9:15pm,II,January16,2012, 7000 Block of Hwy 72 Madison, DUTY UPON STRIKING UNATTENDED VEHICLE
2113,B12-000146,8:00am,I,January17,2012, 1000 Block of Cathedral Cir, DOMESTIC VIOLENCE 3RD
2114,B12-000147,8:00am,I,January17,2012, 1000 Block of Cathedral Cir, DOMESTIC VIOLENCE 3RD
2115,B12-000148,9:25am,I,January17,2012, 100 Block of Hughes Rd, HARASSING COMMUNICATIONS
2116,B12-000149,2:44pm,II,January17,2012, 100 Block of Galt Ln, BREAKING AND ENTERING A VEHICLE
2117,B12-000150,2:58pm,II,January17,2012, 100 Block of Cambridge Tr, BURGLARY-3RD
2118,B12-000151,3:40pm,II,January17,2012, Dollar General 7037, 7950 Highway 72 W, THEFT 3RD DEGREE
2119,B12-000152,4:10pm,II,January17,2012, 100 Block of Monument Ln, BREAKING AND ENTERING A VEHICLE
2120,B12-000153,4:47pm,II,January17,2012, 100 Block of Murry Dr, BURGLARY-3RD
2121,B12-000153,4:47pm,II,II, 100 Block of Murry Dr, THEFT 1ST DEGREE
2122,B12-000154,7:00pm,II,January17,2012, 200 Block of Kyser Blvd Madison, DOMESTIC VIOLENCE 3RD
2123,B12-000155,7:55pm,II,January17,2012, 1000 Block of Colonial Lake Dr Madison, DOMESTIC VIOLENCE 3RD
2124,B12-000156,7:55pm,II,January17,2012, 1000 Block of Colonial Lake Dr, UNAUTHORIZED USE OF AUTO
2125,B12-000157,9:00pm,II,January17,2012, 200 Block of Kyser Blvd, HARASSMENT
2126,B12-000158,7:00pm,II,January17,2012, 200 Block of Kyser Blvd Madison, DOMESTIC VIOLENCE 3RD
2127,B12-000159,2:15am,III,January18,2012, 8000 Block of Madison Blvd, DOMESTIC VIOLENCE 3RD
2128,B12-000160,10:15am,I,January18,2012, 100 Block of College St, HARASSING COMMUNICATIONS
2129,B12-000162,2:11pm,II,January18,2012, 3000 Block of Sullivan St, AUTO THEFT-1ST DEGREE
2130,B12-000163,2:30pm,II,January18,2012, City Of Madison, Mill Creek Greenway, PUBLIC LEWDNESS
2131,B12-000166,6:34pm,II,January18,2012, 100 Block of Royal Dr, RECEIVING STOLEN PROPERTY-3RD
2132,B12-000167,9:49am,I,January19,2012, 100 Block of Tynedale Dr, DOMESTIC VIOLENCE 3RD
2133,B12-000171,1:00pm,I,January19,2012, 100 Block of Graphics Dr Madison, COLLISION WITH UNATTENDED VEHICLE
2134,B12-000172,1:46pm,I,January19,2012, 10000 Block of County Line Rd, CHILD ABUSE
2135,B12-000173,2:00pm,II,January19,2012, Jani King Commercial Cleaning Services, 114 Arlington Dr, THEFT 3RD DEGREE
2136,B12-000174,5:05pm,II,January19,2012, 100 Block of Silo Hill Rd, BURGLARY-3RD
2137,B12-000174,5:05pm,II,II, 100 Block of Silo Hill Rd, THEFT 1ST DEGREE
2138,B12-000175,5:48pm,II,January19,2012, 200 Block of Dock Murphy Dr, HARASSMENT
2139,B12-000198,9:51am,I,January23,2012, 100 Block of Shelton Rd, HARASSING COMMUNICATIONS
2140,B12-000199,10:13am,I,January23,2012, 100 Block of Brazelton Cir, HARASSING COMMUNICATIONS
2141,B12-000202,2:00pm,II,January23,2012, 600 Block of Hughes Rd, THEFT 3RD DEGREE
2142,B12-000203,2:00pm,II,January23,2012, 10000 Block of Hwy 101, IDENTITY THEFT
2143,B12-000204,1:43pm,I,January23,2012, 100 Block of Arabian Dr, IDENTITY THEFT
2144,B12-000205,2:37pm,II,January23,2012, 100 Block of Hughes Rd, THEFT 2ND DEGREE
2145,B12-000206,2:50pm,II,January23,2012, 200 Block of Lanier Rd Madison, THEFT 2ND DEGREE
2146,B12-000207,7:14pm,II,January23,2012, 8000 Block of Madison Blvd, HARASSMENT
2147,B12-000208,7:32pm,II,January23,2012, 100 Block of Continental Dr Madison, DOMESTIC VIOLENCE 3RD
2148,B12-000210,3:50am,III,January24,2012, Crickets Burgers And Wings, 3810 Sullivan St, THEFT 3RD DEGREE
2149,B12-000210,3:50am,III,III, Crickets Burgers And Wings, 3810 Sullivan St, BURGLARY-3RD
2150,B12-000211,8:54am,I,January24,2012, Bob Jones High School, 650 Hughes Rd, CRIMINAL MISCHIEF-3RD
2151,B12-000212,12:45pm,I,January24,2012, Dollar General, 7950 Highway 72 W, THEFT 3RD DEGREE
2152,B12-000213,1:46pm,I,January24,2012, 100 Block of Michael Av, BURGLARY-3RD
2153,B12-000213,1:46pm,I,I, 100 Block of Michael Av, THEFT 3RD DEGREE
2154,B12-000215,4:15pm,II,January24,2012, 400 Block of Clydebank Dr, CRIMINAL MISCHIEF-2ND
2155,B12-000216,4:50pm,II,January24,2012, 100 Block of Royal Dr, MENACING
2156,B12-000218,8:02pm,II,January24,2012, 800 Block of Browns Ferry Rd,   BURGLARY-3RD
2157,B12-000218,8:02pm,II,II, 800 Block of Browns Ferry Rd,   BURGLARY-3RD
2158,B12-000218,8:02pm,II,II, 800 Block of Browns Ferry Rd,   THEFT 1ST DEGREE
2159,B12-000218,8:02pm,II,II, 800 Block of Browns Ferry Rd,   THEFT 1ST DEGREE
2160,B12-000218,8:02pm,II,II, 800 Block of Browns Ferry Rd,   RECEIVING STOLEN PROPERTY-1ST
2161,B12-000218,8:02pm,II,II, 800 Block of Browns Ferry Rd,   RECEIVING STOLEN PROPERTY-1ST
2162,B12-000219,10:06am,I,January25,2012, Motel 6, 8995 Madison Blvd, CRIMINAL MISCHIEF-3RD
2163,B12-000220,12:00pm,I,January25,2012, 100 Block of Hughes Rd, IDENTITY THEFT
2164,B12-000221,12:55am,III,January26,2012, 100 Block of Royal Dr Madison, DOMESTIC VIOLENCE 3RD
2165,B12-000222,8:35am,I,January26,2012, 100 Block of Big Oak Cir, BREAKING AND ENTERING A VEHICLE
2166,B12-000223,9:42am,I,January26,2012, 100 Block of Allen St, CHILD ABUSE
2167,B12-000224,9:42am,I,January26,2012, 100 Block of Allen St, CHILD ABUSE
2168,B12-000225,10:00am,I,January25,2012, City Of Madison, 100 Hughes Rd, MAKING FALSE REPORT TO LAW ENFORCEMENT OFFICER
2169,B12-000226,9:28am,I,January26,2012, 100 Block of Gracie Ln, DEATH INVESTIGATION
2170,B12-000227,3:40pm,II,January26,2012, 9000 Block of Madison Blvd, THEFT 3RD DEGREE
2171,B12-000228,4:14pm,II,January26,2012, 9000 Block of Madison Blvd, THEFT 3RD DEGREE
2172,B12-000229,5:30pm,II,January26,2012, 8000 Block of Madison Blvd Madison, ILLEGAL POSS/USE CREDIT CARD
2173,B12-000230,5:30pm,II,January26,2012, 100 Block of Hughes Rd, ILLEGAL POSS/USE CREDIT CARD
2174,B12-000232,6:43pm,II,January26,2012, 100 Block of W Dublin Drive Madison, THEFT 1ST DEGREE
2175,B12-000234,9:18am,I,January27,2012, 200 Block of Yancy Rd, THEFT 1ST DEGREE
2176,B12-000254,6:27am,I,January30,2012, 4000 Block of Wall Triana Hwy, THEFT 2ND DEGREE
2177,B12-000255,8:40am,I,January30,2012, Auto Zone, 1626 Hughes Rd, CRIMINAL MISCHIEF-2ND
2178,B12-000256,8:51am,I,January30,2012, 1000 Block of Hughes Rd, HARASSMENT
2179,B12-000257,9:29am,I,January30,2012, 100 Block of Pension Row, AUTO THEFT-1ST DEGREE
2180,B12-000259,12:40pm,I,January30,2012, 100 Block of Broken Bow Ln, THEFT 1ST DEGREE
2181,B12-000259,12:40pm,I,I, 100 Block of Broken Bow Ln, BURGLARY-3RD
2182,B12-000260,12:59pm,I,January30,2012, 100 Block of Amsterdam Pl, BURGLARY-3RD
2183,B12-000260,12:59pm,I,I, 100 Block of Amsterdam Pl, THEFT 2ND DEGREE
2184,B12-000261,3:00pm,II,January30,2012, My Old San Juan, 8760 Madison Blvd Madison, THEFT 2ND DEGREE
2185,B12-000262,1:52pm,I,January30,2012, 100 Block of Honor Way, IDENTITY THEFT
2186,B12-000263,3:00pm,II,January30,2012, Woodland Homes Of Huntsville Inc, 100 Huntfield Dr, THEFT 2ND DEGREE
2187,B12-000264,2:54pm,II,January30,2012, 7000 Block of Hwy 72 Madison, THEFT OF LOST PROPERTY-3RD
2188,B12-000266,5:20pm,II,January30,2012, 100 Block of Horseshoe Bend S, THEFT 3RD DEGREE
2189,B12-000267,9:10pm,II,January30,2012, 100 Block of Kensington Dr, CRIMINAL MISCHIEF-3RD
2190,B12-000268,11:40pm,III,January30,2012, area of, DEATH INVESTIGATION
2191,B12-000269,6:45am,I,January31,2012, 1000 Block of Colonial Lake Dr, BURGLARY OF AUTO (NO THEFT)
2192,B12-000270,9:10am,I,January31,2012, City Of Madison, 847 Mill Creek Greenway Madison, CRIMINAL MISCHIEF-3RD
2193,B12-000271,12:40pm,I,January31,2012, 300 Block of Hughes Rd, IDENTITY THEFT
2194,B12-000272,2:40pm,II,January31,2012, Bob Jones High School, 650 Hughes Rd, CRIMINAL MISCHIEF-3RD
2195,B12-000273,3:15pm,II,January31,2012, 300 Block of Shelton Rd, DOMESTIC VIOLENCE 3RD
2196,B12-000276,7:56am,I,February01,2012, 900 Block of High St, AUTO THEFT-1ST DEGREE
2197,B12-000277,1:44pm,I,February01,2012, 100 Block of Hughes Rd, THEFT 3RD DEGREE
2198,B12-000280,7:25pm,II,February01,2012, 1000 Block of Colonial Lake Dr, DOMESTIC VIOLENCE 3RD
2199,B12-000281,2:00am,III,February02,2012, 100 Block of Garden Brook Dr Madison, DUTY UPON STRIKING UNATTENDED VEHICLE
2200,B12-000283,9:45am,I,February02,2012, The Brook Church, 8573 Highway 72 W, BURGLARY-3RD
2201,B12-000283,9:45am,I,I, The Brook Church, 8573 Highway 72 W, THEFT 3RD DEGREE
2202,B12-000284,11:21am,I,February02,2012, 100 Block of Westscott Dr, DOMESTIC VIOLENCE 3RD
2203,B12-000284,11:21am,I,I, 100 Block of Westscott Dr, CRIMINAL MISCHIEF-2ND
2204,B12-000285,11:13am,I,February02,2012, State Of Alabama, County Line Rd / Lena Cain Blvd, VERIFICATION OF CITIZENSHIP IMMIGRATION
2205,B12-000288,12:45am,III,February03,2012, 4000 Block of Sullivan St Madison, CHILD ABUSE
2206,B12-000324,10:02pm,III,February06,2012, 7000 Block of Highway 72 W Madison, THEFT OF SERVICES-3
2207,B12-000325,12:45am,III,February06,2012, City Of Madison, 125 Royal Dr, DUTY UPON STRIKING A FIXED OBJECT
2208,B12-000327,9:12am,I,February06,2012, 7000 Block of Old Madison Pike, BREAKING AND ENTERING A VEHICLE
2209,B12-000328,12:19pm,I,February06,2012, 100 Block of Browns Ferry Rd, THEFT 3RD DEGREE
2210,B12-000329,12:02pm,I,February06,2012, 200 Block of Gillespie Rd, THEFT 2ND DEGREE
2211,B12-000330,1:49pm,I,February06,2012, 600 Block of Clift Dr, IDENTITY THEFT
2212,B12-000331,2:48pm,II,February06,2012, 1000 Block of Seina Vista Dr, BURGLARY-3RD
2213,B12-000331,2:48pm,II,II, 1000 Block of Seina Vista Dr, THEFT 1ST DEGREE
2214,B12-000332,3:23pm,II,February06,2012, 700 Block of Hartington Dr, THEFT 2ND DEGREE
2215,B12-000332,3:23pm,II,II, 700 Block of Hartington Dr, BURGLARY-3RD
2216,B12-000336,5:48pm,II,February06,2012, 100 Block of Woodland Tr, BURGLARY-3RD
2217,B12-000337,7:07pm,II,February06,2012, 600 Block of Hughes Road Madison, HARASSING COMMUNICATIONS
2218,B12-000340,3:12pm,II,February07,2012, State Of Alabama, County Line Rd / High Coach Way, VERIFICATION OF CITIZENSHIP IMMIGRATION
2219,B12-000341,2:25pm,II,February08,2012, 100 Block of Kensington Dr, HARASSMENT
2220,B12-000342,2:24pm,II,February08,2012, 100 Block of Kensington Dr, CRIMINAL MISCHIEF-3RD
2221,B12-000346,11:46am,I,February09,2012, Dollar General, 7950 Highway 72 W, THEFT 3RD DEGREE
2222,B12-000347,1:00pm,I,February09,2012, 100 Block of Hughes Rd, HARASSING COMMUNICATIONS
2223,B12-000348,1:38pm,I,February09,2012, 100 Block of Michael Av Madison, BURGLARY-3RD
2224,B12-000348,1:38pm,I,I, 100 Block of Michael Av Madison, THEFT 2ND DEGREE
2225,B12-000349,2:56pm,II,February09,2012, 200 Block of Gooch Ln, THEFT 2ND DEGREE
2226,B12-000350,4:26pm,II,February09,2012, 100 Block of Murry Dr Madison, IDENTITY THEFT
2227,B12-000351,5:12pm,II,February09,2012, 8000 Block of Madison Blvd, THEFT 2ND DEGREE
2228,B12-000352,10:23pm,III,February09,2012, 200 Block of Bellingham Dr, HARASSING COMMUNICATIONS
2229,B12-000354,7:25am,I,February10,2012, Aircraft & Commercial Enterprises Inc, 118 Horseshoe Bend S, AUTO THEFT-1ST DEGREE
2230,B12-000355,10:15am,I,February10,2012, 600 Block of Carol Dt Madison, BREAKING AND ENTERING A VEHICLE
2231,B12-000357,10:15am,I,February10,2012, 2000 Block of Flagstone Dr, CRIMINAL MISCHIEF-2ND
2232,B12-000364,8:02am,I,February11,2012, Madison City School Board, 11306 County Line Rd, CRIMINAL MISCHIEF-2ND
2233,B12-000364,8:02am,I,I, Madison City School Board, 11306 County Line Rd, BURGLARY-3RD
2234,B00-000000,7:56pm,II,February16,2012, 100 Block of Hughes Rd Madison, AGGRAVATED ASSAULT 1ST NON FAMILY GUN
2235,B12-000377,9:37am,I,February13,2012, 8000 Block of Madison Blvd, MENACING
2236,B12-000378,11:06am,I,February13,2012, 200 Block of Carter Rd, IDENTITY THEFT
2237,B12-000379,11:18am,I,February13,2012, 200 Block of Yancy Rd, IDENTITY THEFT
2238,B12-000379,11:18am,I,I, 200 Block of Yancy Rd, ILLEGAL POSS/USE CREDIT CARD
2239,B12-000380,11:30am,I,February13,2012, 100 Block of Daffodil Cir, THEFT 2ND DEGREE
2240,B12-000381,11:45am,I,February13,2012, 100 Block of Briargate Ln, CRIMINAL MISCHIEF-3RD
2241,B12-000382,12:15pm,I,February13,2012, 200 Block of Main St, CRIMINAL MISCHIEF-3RD
2242,B12-000385,4:07pm,II,February13,2012, 100 Block of Park Square Ln, THEFT 3RD DEGREE
2243,B12-000387,4:16pm,II,February13,2012, Dollar General 7037, 7950 Highway 72 W, THEFT 3RD DEGREE
2244,B12-000388,4:16pm,II,February13,2012, Dollar General Store #07031, 7950 Highway 72 W, THEFT 3RD DEGREE
2245,B12-000389,5:42pm,II,February13,2012, 100 Block of Hughes Rd, THEFT 3RD DEGREE
2246,B12-000391,11:55pm,III,February13,2012, 100 Block of Royal Dr, AUTO THEFT-1ST DEGREE
2247,B12-000392,9:30am,I,February14,2012, 4000 Block of Lawsons Ridge Nw Huntsville, BREAKING AND ENTERING A VEHICLE
2248,B12-000393,1:00pm,I,February14,2012, 100 Block of Royal Dr Madison, DOMESTIC INCIDENT
2249,B12-000394,3:02pm,II,February14,2012, Adams Homes, 205 De Jan Rd, BURGLARY-3RD
2250,B12-000394,3:02pm,II,II, Adams Homes, 205 De Jan Rd, THEFT 2ND DEGREE
2251,B12-000395,6:58pm,II,February14,2012, Walmart Super Center #2690, 8650 Madison Blvd, THEFT 3RD DEGREE
2252,B12-000396,3:38pm,II,February15,2012, State Of Alabama, 11 Hughes Rd, POSS. FORGED INSTRUMENT 2ND
2253,B12-000397,7:26pm,II,February15,2012, 200 Block of Kyser Blvd Madison, DOMESTIC VIOLENCE 3RD
2254,B12-000398,9:14pm,II,February15,2012, At&T, 107 Sherborn Dr, CRIMINAL MISCHIEF-3RD
2255,B12-000399,9:26pm,II,February15,2012, City Of Madison, 107 Sherborn Dr, CRIMINAL MISCHIEF-3RD
2256,B12-000400,9:39pm,II,February15,2012, City Of Athens, 110 Sherborn Dr, CRIMINAL MISCHIEF-3RD
2257,B12-000401,10:30pm,III,February15,2012, 900 Block of Hughes Rd Madison, THEFT 2ND DEGREE
2258,B12-000402,9:46pm,II,February15,2012, 100 Block of Millbury Way, CRIMINAL MISCHIEF-3RD
2259,B12-000403,9:58pm,II,February15,2012, 200 Block of Brockton Drive Madison, CRIMINAL MISCHIEF-3RD
2260,B12-000404,2:00am,III,February16,2012, 200 Block of Water Hill Rd, BURGLARY-3RD
2261,B12-000404,2:00am,III,III, 200 Block of Water Hill Rd, THEFT 1ST DEGREE
2262,B12-000406,4:11pm,II,February16,2012, 100 Block of Hughes Rd, IDENTITY THEFT
2263,B12-000407,8:50pm,II,February16,2012, 100 Block of Shadow Ridge Dr, DOMESTIC VIOLENCE 3RD
2264,B12-000408,8:08pm,II,February16,2012, area of I-565 West Madison, DUTY TO STOP AND REMAIN AT SCENE
2265,B12-000409,11:30pm,III,February16,2012, 400 Block of Barrington Hills Dr, CRIMINAL MISCHIEF-2ND
2266,B12-000433,7:58am,I,February20,2012, Ras Delivery Service, 9310 Madison Blvd, BURGLARY-3RD
2267,B12-000433,7:58am,I,I, Ras Delivery Service, 9310 Madison Blvd, THEFT 1ST DEGREE
2268,B12-000434,9:19am,I,February20,2012, Halsey Food Service, 401 Lanier Rd, CRIMINAL MISCHIEF-3RD
2269,B12-000435,10:36am,I,February20,2012, 200 Block of Main St, THEFT 2ND DEGREE
2270,B12-000436,11:46am,I,February20,2012, State Of Alabama, 5191 Wall Triana Hwy, POSS. FORGED INSTRUMENT 2ND
2271,B12-000437,12:09pm,I,February20,2012, 8000 Block of Madison Blvd, THEFT 3RD DEGREE
2272,B12-000438,1:58pm,I,February20,2012, 400 Block of Shamrock Dr, BREAKING AND ENTERING A VEHICLE
2273,B12-000439,3:00pm,II,February20,2012, Walmart Super Center #2690, 8650 Madison Blvd, THEFT 2ND DEGREE
2274,B12-000440,3:55pm,II,February20,2012, 300 Block of Gillespie Rd Madison, THEFT 3RD DEGREE
2275,B12-000441,4:10pm,II,February20,2012, 100 Block of Stoneway Tr, BURGLARY-3RD
2276,B12-000441,4:10pm,II,II, 100 Block of Stoneway Tr, THEFT 2ND DEGREE
2277,B12-000442,4:26pm,II,February20,2012, 400 Block of Marion Dr, THEFT 2ND DEGREE
2278,B12-000444,5:28pm,II,February20,2012, 3000 Block of Flag Cir, BURGLARY-3RD
2279,B12-000444,5:28pm,II,II, 3000 Block of Flag Cir, THEFT 2ND DEGREE
2280,B12-000446,6:24am,I,February21,2012, 300 Block of Gillespie Rd Madison,   DOMESTIC VIOLENCE 3RD
2281,B12-000446,6:24am,I,I, 300 Block of Gillespie Rd Madison,   DOMESTIC VIOLENCE 3RD
2282,B12-000446,6:24am,I,I, 300 Block of Gillespie Rd Madison,   PUBLIC DRUNKENESS
2283,B12-000446,6:24am,I,I, 300 Block of Gillespie Rd Madison,   PUBLIC DRUNKENESS
2284,B12-000447,10:02am,I,February21,2012, City Of Madison, 102 Horseshoe Bend, CRIMINAL MISCHIEF-3RD
2285,B12-000448,7:54am,I,February21,2012, 100 Block of Autumn Wind Dr, HARASSING COMMUNICATIONS
2286,B12-000449,11:03am,I,February21,2012, Woodland Homes Of Huntsville Inc, 101 Alden Bridge Ct, THEFT 3RD DEGREE
2287,B12-000450,11:03am,I,February21,2012, Woodland Homes Of Huntsville Inc, 101 Alden Bridge Ct, THEFT 3RD DEGREE
2288,B12-000451,11:34am,I,February21,2012, 100 Block of Royal Dr Madison, THEFT 3RD DEGREE
2289,B12-000452,11:57am,I,February21,2012, 200 Block of Browns Ferry Rd, BURGLARY-3RD
2290,B12-000452,11:57am,I,I, 200 Block of Browns Ferry Rd, THEFT 1ST DEGREE
2291,B12-000453,1:42pm,I,February21,2012, City Of Madison, Hwy 72 Madison, ATTEMPTING TO FLEE OR ELUDE POLICE OFFICER
2292,B12-000453,1:42pm,I,I, City Of Madison, Hwy 72 Madison, DISORDERLY CONDUCT
2293,B12-000455,2:59pm,II,February21,2012, 400 Block of Marion Dr, ILLEGAL POSS/USE CREDIT CARD
2294,B12-000456,3:10pm,II,February21,2012, 100 Block of Allen St, DOMESTIC VIOLENCE 3RD
2295,B12-000457,4:12pm,II,February21,2012, 200 Block of Celtic Dr, HARASSMENT
2296,B12-000458,5:00pm,II,February21,2012, Gamers Paradise, 7905 Highway 72 W, THEFT 3RD DEGREE
2297,B12-000459,5:53pm,II,February21,2012, 100 Block of Stoneway Tr, CRIMINAL MISCHIEF-3RD
2298,B12-000461,6:40pm,II,February21,2012, 20000 Block of Powell Rd, DOMESTIC VIOLENCE 3RD
2299,B12-000463,9:31pm,II,February21,2012, 8000 Block of Madison Blvd Madison, DUTY UPON STRIKING UNATTENDED VEHICLE
2300,B12-000465,9:35am,I,February22,2012, 300 Block of Healey Dr, THEFT 3RD DEGREE
2301,B12-000466,12:45pm,I,February22,2012, Bob Jones High School, 650 Hughes Rd, RENDERING A FALSE ALARM
2302,B12-000468,9:00am,I,February23,2012, area of I-565 Madison / Wall Triana, DUTY TO STOP AND REMAIN AT SCENE
