id % case_no % time % shift % date % location % latitude % longitude % incident_type
79 % B11-000826 % 11:19am % I % April06,2011 %  100 Block of Abby Ln Madison Madison AL % 34.722718 % -86.750686 %  BURGLARY-3RD
80 % B11-000826 % 11:19am % I % I %  100 Block of Abby Ln Madison Madison AL % 34.722718 % -86.750686 %  CRIMINAL MISCHIEF-1ST
81 % B11-000826 % 11:19am % I % I %  100 Block of Abby Ln Madison Madison AL % 34.722718 % -86.750686 %  THEFT 3RD DEGREE
82 % B11-000828 % 12:50pm % I % April06,2011 %  3000 Block of Wall Triana Hwy Madison AL % 34.6544455 % -86.7580104 %  HARASSING COMMUNICATIONS
83 % B11-000829 % 1:30pm % I % April06,2011 %  100 Block of Dartford Dr Madison AL % 34.6862004 % -86.7910719 %  THEFT 3RD DEGREE
84 % B11-000830 % 2:45pm % II % April06,2011 %  Halsey Food Service, 401 Lanier Rd Madison AL % 34.6924619 % -86.7398491 %  THEFT 2ND DEGREE
85 % B11-000831 % 3:00pm % II % April06,2011 %  8000 Block of Madison Blvd Madison AL % 34.6916999 % -86.7183959 %  HARASSING COMMUNICATIONS
86 % B11-000832 % 5:11pm % II % April06,2011 %  600 Block of Hughes Rd Madison AL % 34.7185872 % -86.7417194 %  THEFT 3RD DEGREE
87 % B11-000834 % 7:20pm % II % April06,2011 %  100 Block of St Anne Rd Madison AL % 34.711186 % -86.76045 %  IDENTITY THEFT
88 % B11-000835 % 7:45pm % II % April06,2011 %  100 Block of Angela Dr Madison Madison AL % 34.728787 % -86.753857 %  DOMESTIC VIOLENCE 3RD
89 % B11-000836 % 8:15pm % II % April06,2011 %  100 Block of Joe Phillips Rd Madison Madison AL % 34.73672 % -86.785831 %  DOMESTIC VIOLENCE 3RD
90 % B11-000837 % 10:09pm % III % April06,2011 %  300 Block of Gillespie Rd Madison Madison AL % 34.7287606 % -86.7502008 %  CRIMINAL MISCHIEF-3RD
91 % B11-000837 % 10:09pm % III % III %  300 Block of Gillespie Rd Madison Madison AL % 34.7287606 % -86.7502008 %  BURGLARY-3RD
92 % B11-000838 % 10:00am % I % April07,2011 %  State Of Alabama, 323 Autumn Lane Madison Madison AL % 34.697448 % -86.720832 %  VIOLATION OF COMMUNITY NOTIFICATION ACT
