id%case_no%time%shift%date%location%latitude%longitude%incident_type
39%B11-000766%5:35pm%II%March30,2011%300 Block of Gillespie Rd Madison Madison AL%34.7287606%-86.7502008%BURGLARY-3RD
40%B11-000767%5:40pm%II%March30,2011%30000 Block of Hardiman Rd Madison AL%34.6969178%-86.7997559%BURGLARY-3RD
41%B11-000767%5:40pm%II%March30,2011%30000 Block of Hardiman Rd Madison AL%34.6969178%-86.7997559%THEFT 2ND DEGREE
42%B11-000768%7:00pm%II%March30,2011%100 Block of Meghan Ln Madison AL%34.7272683%-86.7565661%FORGERY 2ND
43%B11-000768%7:00pm%II%March30,2011%100 Block of Meghan Ln Madison AL%34.7272683%-86.7565661%THEFT 3RD DEGREE
44%B11-000770%12:41am%III%March31,2011%City Of Madison, Madison Blvd / Sullivan St Madison AL%34.69163%-86.751396%CARRYING CONCEALED WEAPON
45%B11-000772%8:00am%I%March31,2011%1000 Block of Nolan Blvd Madison AL%34.7087286%-86.7276446%THEFT 2ND DEGREE
46%B11-000774%9:30am%I%March31,2011%area of Old Madison Pk Btw Hughes / Sunset Madison Madison AL%34.6992579%-86.7483318%HARASSMENT
47%B11-000775%9:30am%I%March31,2011%1000 Block of Hughes Rd Madison AL%34.7218484%-86.7416113%SIMPLE ASSAULT
48%B11-000777%4:10pm%II%March31,2011%City Of Madison, 137 Manningham Dr Madison Madison AL%34.714331%-86.746222%DUTY TO STOP AND REMAIN AT SCENE
49%B11-000778%7:00pm%II%March31,2011%Ruby Tuesday, 110 Tom Thrasher Ln Madison AL%34.6715003%-86.7529004%THEFT OF SERVICES-3
50%B11-000779%6:50pm%II%March31,2011%200 Block of Healey Dr Madison Madison AL%34.6902524%-86.791011%HARASSING COMMUNICATIONS
51%B11-000784%8:45am%I%April01,2011%200 Block of De Jan Rd Madison AL%34.739327%-86.785213%BURGLARY-2ND
52%B11-000784%8:45am%I%April01,2011%200 Block of De Jan Rd Madison AL%34.739327%-86.785213%THEFT 2ND DEGREE
53%B11-000785%2:10pm%II%April01,2011%8000 Block of Old Madison Pike Madison Madison AL%34.707063%-86.720286%HARASSMENT
54%B11-000786%1:47pm%I%April01,2011%Belmont Place Club House, 80 Belmont Pl Madison AL%34.7198835%-86.7886087%CRIMINAL MISCHIEF-3RD
55%B11-000787%3:15pm%II%April01,2011%Federal Square Suites, 8781 Madison Blvd Madison AL%34.6781998%-86.7463491%THEFT OF SERVICES-3
56%B11-000789%3:00pm%II%April01,2011%City Of Madison, Sullivan St @ Front St Madison Madison AL%34.6931153%-86.7513862%GIVING FALSE NAME OR ADDRESS TO LAW ENFORCEMENT OFFICER
